Connecting to host 10.0.2.2, port 5201
[ 14] local 10.0.1.2 port 38580 connected to 10.0.2.2 port 5201
[ 14] 120.00-121.00 sec   954 KBytes  7.82 Mbits/sec    4   41.0 KBytes       
[ 14] 121.00-122.00 sec  1.06 MBytes  8.86 Mbits/sec    4   31.1 KBytes       
[ 14] 122.00-123.00 sec  1018 KBytes  8.34 Mbits/sec    2   43.8 KBytes       
[ 14] 123.00-124.00 sec   954 KBytes  7.82 Mbits/sec    5   28.3 KBytes       
[ 14] 124.00-125.00 sec   954 KBytes  7.82 Mbits/sec    2   42.4 KBytes       
[ 14] 125.00-126.00 sec  1.06 MBytes  8.86 Mbits/sec    5   31.1 KBytes       
[ 14] 126.00-127.00 sec  1018 KBytes  8.34 Mbits/sec    2   45.2 KBytes       
[ 14] 127.00-128.00 sec  1018 KBytes  8.34 Mbits/sec    5   32.5 KBytes       
[ 14] 128.00-129.00 sec   954 KBytes  7.82 Mbits/sec    2   46.7 KBytes       
[ 14] 129.00-130.00 sec  1018 KBytes  8.34 Mbits/sec    4   36.8 KBytes       
[ 14] 130.00-131.00 sec  1018 KBytes  8.34 Mbits/sec    3   48.1 KBytes       
[ 14] 131.00-132.00 sec  1018 KBytes  8.34 Mbits/sec    5   35.4 KBytes       
[ 14] 132.00-133.00 sec  1.06 MBytes  8.86 Mbits/sec    2   48.1 KBytes       
[ 14] 133.00-134.00 sec   954 KBytes  7.82 Mbits/sec    6   35.4 KBytes       
[ 14] 134.00-135.00 sec   954 KBytes  7.82 Mbits/sec    4   46.7 KBytes       
[ 14] 135.00-136.00 sec  1.06 MBytes  8.86 Mbits/sec    4   33.9 KBytes       
[ 14] 136.00-137.00 sec  1018 KBytes  8.34 Mbits/sec    2   48.1 KBytes       
[ 14] 137.00-138.00 sec   954 KBytes  7.82 Mbits/sec    4   36.8 KBytes       
[ 14] 138.00-139.00 sec  1018 KBytes  8.34 Mbits/sec    2   50.9 KBytes       
[ 14] 139.00-140.00 sec   954 KBytes  7.82 Mbits/sec    4   39.6 KBytes       
[ 14] 140.00-141.00 sec  1018 KBytes  8.34 Mbits/sec    5   26.9 KBytes       
[ 14] 141.00-142.00 sec  1018 KBytes  8.34 Mbits/sec    1   39.6 KBytes       
[ 14] 142.00-143.00 sec  1.12 MBytes  9.38 Mbits/sec    6   25.5 KBytes       
[ 14] 143.00-144.00 sec   891 KBytes  7.30 Mbits/sec    3   25.5 KBytes       
[ 14] 144.00-145.00 sec   954 KBytes  7.82 Mbits/sec    2   39.6 KBytes       
[ 14] 145.00-146.00 sec  1.06 MBytes  8.86 Mbits/sec    6   22.6 KBytes       
[ 14] 146.00-147.00 sec   827 KBytes  6.78 Mbits/sec    2   38.2 KBytes       
[ 14] 147.00-148.00 sec  1.06 MBytes  8.86 Mbits/sec    2   49.5 KBytes       
[ 14] 148.00-149.00 sec   954 KBytes  7.82 Mbits/sec    6   38.2 KBytes       
[ 14] 149.00-150.00 sec  1.12 MBytes  9.38 Mbits/sec    5   28.3 KBytes       
[ 14] 150.00-151.00 sec   827 KBytes  6.78 Mbits/sec    2   26.9 KBytes       
[ 14] 151.00-152.00 sec  1018 KBytes  8.34 Mbits/sec    2   39.6 KBytes       
[ 14] 152.00-153.00 sec  1.06 MBytes  8.86 Mbits/sec    4   26.9 KBytes       
[ 14] 153.00-154.00 sec   954 KBytes  7.82 Mbits/sec    4   38.2 KBytes       
[ 14] 154.00-155.00 sec   954 KBytes  7.82 Mbits/sec    4   39.6 KBytes       
[ 14] 155.00-156.00 sec   954 KBytes  7.82 Mbits/sec    2   41.0 KBytes       
[ 14] 156.00-157.00 sec  1.06 MBytes  8.86 Mbits/sec    6   29.7 KBytes       
[ 14] 157.00-158.00 sec   954 KBytes  7.82 Mbits/sec    4   42.4 KBytes       
[ 14] 158.00-159.00 sec  1.06 MBytes  8.86 Mbits/sec    4   31.1 KBytes       
[ 14] 159.00-160.00 sec  1018 KBytes  8.34 Mbits/sec    2   43.8 KBytes       
[ 14] 160.00-161.00 sec  1018 KBytes  8.34 Mbits/sec    5   32.5 KBytes       
[ 14] 161.00-162.00 sec   954 KBytes  7.82 Mbits/sec    2   46.7 KBytes       
[ 14] 162.00-163.00 sec   954 KBytes  7.82 Mbits/sec    5   32.5 KBytes       
[ 14] 163.00-164.00 sec  1018 KBytes  8.34 Mbits/sec    4   43.8 KBytes       
[ 14] 164.00-165.00 sec  1018 KBytes  8.34 Mbits/sec    5   31.1 KBytes       
[ 14] 165.00-166.00 sec  1018 KBytes  8.34 Mbits/sec    3   42.4 KBytes       
[ 14] 166.00-167.00 sec  1.06 MBytes  8.86 Mbits/sec    4   31.1 KBytes       
[ 14] 167.00-168.00 sec  1018 KBytes  8.34 Mbits/sec    2   45.2 KBytes       
[ 14] 168.00-169.00 sec   954 KBytes  7.82 Mbits/sec    4   32.5 KBytes       
[ 14] 169.00-170.00 sec  1018 KBytes  8.34 Mbits/sec    2   46.7 KBytes       
[ 14] 170.00-171.00 sec  1.06 MBytes  8.86 Mbits/sec    5   35.4 KBytes       
[ 14] 171.00-172.00 sec  1018 KBytes  8.34 Mbits/sec    3   46.7 KBytes       
[ 14] 172.00-173.00 sec   954 KBytes  7.82 Mbits/sec    4   35.4 KBytes       
[ 14] 173.00-174.00 sec  1018 KBytes  8.34 Mbits/sec    2   49.5 KBytes       
[ 14] 174.00-175.00 sec  1018 KBytes  8.34 Mbits/sec    6   33.9 KBytes       
[ 14] 175.00-176.00 sec   954 KBytes  7.82 Mbits/sec    2   46.7 KBytes       
[ 14] 176.00-177.00 sec   954 KBytes  7.82 Mbits/sec    2   46.7 KBytes       
[ 14] 177.00-178.00 sec   954 KBytes  7.82 Mbits/sec    6   31.1 KBytes       
[ 14] 178.00-179.00 sec  1018 KBytes  8.34 Mbits/sec    2   46.7 KBytes       
[ 14] 179.00-180.00 sec  1.12 MBytes  9.38 Mbits/sec    5   18.4 KBytes       
[ 14] 180.00-181.00 sec   827 KBytes  6.78 Mbits/sec    2   31.1 KBytes       
[ 14] 181.00-182.00 sec  1018 KBytes  8.34 Mbits/sec    2   42.4 KBytes       
[ 14] 182.00-183.00 sec  1018 KBytes  8.34 Mbits/sec    3   50.9 KBytes       
[ 14] 183.00-184.00 sec  1.06 MBytes  8.86 Mbits/sec    4   36.8 KBytes       
[ 14] 184.00-185.00 sec  1.06 MBytes  8.86 Mbits/sec    2   49.5 KBytes       
[ 14] 185.00-186.00 sec  1018 KBytes  8.34 Mbits/sec    5   31.1 KBytes       
[ 14] 186.00-187.00 sec  1018 KBytes  8.34 Mbits/sec    4   41.0 KBytes       
[ 14] 187.00-188.00 sec  1.12 MBytes  9.38 Mbits/sec    2   50.9 KBytes       
[ 14] 188.00-189.00 sec   891 KBytes  7.30 Mbits/sec    4   21.2 KBytes       
[ 14] 189.00-190.00 sec  1018 KBytes  8.34 Mbits/sec    3   29.7 KBytes       
[ 14] 190.00-191.00 sec  1018 KBytes  8.34 Mbits/sec    4   38.2 KBytes       
